,open,high,low,close,adjclose,volume,ticker,date
2021-06-03,36.84000015258789,36.86000061035156,36.34000015258789,36.34000015258789,36.27935028076172,1320400,STM,2021-06-03
2021-06-04,36.86000061035156,37.29999923706055,36.779998779296875,37.16999816894531,37.10796356201172,1046900,STM,2021-06-04
2021-06-07,37.22999954223633,37.22999954223633,36.70000076293945,36.810001373291016,36.748565673828125,1286100,STM,2021-06-07
2021-06-08,37.13999938964844,37.16999816894531,36.65999984741211,36.83000183105469,36.768531799316406,1395700,STM,2021-06-08
2021-06-09,37.150001525878906,37.2599983215332,36.9900016784668,37.09000015258789,37.028099060058594,1176300,STM,2021-06-09
2021-06-10,37.540000915527344,38.0099983215332,37.4900016784668,37.81999969482422,37.75687789916992,1474200,STM,2021-06-10
2021-06-11,38.060001373291016,38.209999084472656,37.95000076293945,38.20000076293945,38.13624572753906,1441300,STM,2021-06-11
2021-06-14,38.130001068115234,38.72999954223633,37.93000030517578,38.720001220703125,38.65537643432617,1462500,STM,2021-06-14
2021-06-15,38.34000015258789,38.529998779296875,37.93000030517578,38.02000045776367,37.956546783447266,1548100,STM,2021-06-15
2021-06-16,38.290000915527344,38.470001220703125,37.650001525878906,37.83000183105469,37.76686477661133,1202800,STM,2021-06-16
2021-06-17,37.40999984741211,38.08000183105469,37.369998931884766,37.849998474121094,37.786827087402344,2198800,STM,2021-06-17
2021-06-18,36.779998779296875,36.880001068115234,35.93000030517578,35.95000076293945,35.88999938964844,6413600,STM,2021-06-18
2021-06-21,36.119998931884766,36.189998626708984,35.75,36.11000061035156,36.11000061035156,1431000,STM,2021-06-21
2021-06-22,36.29999923706055,36.4900016784668,36.130001068115234,36.41999816894531,36.41999816894531,1069500,STM,2021-06-22
2021-06-23,36.220001220703125,36.369998931884766,36.0099983215332,36.06999969482422,36.06999969482422,908700,STM,2021-06-23
2021-06-24,36.709999084472656,36.95000076293945,36.560001373291016,36.7400016784668,36.7400016784668,931500,STM,2021-06-24
2021-06-25,36.83000183105469,36.90999984741211,36.52000045776367,36.52000045776367,36.52000045776367,845500,STM,2021-06-25
2021-06-28,36.560001373291016,37.279998779296875,36.560001373291016,37.119998931884766,37.119998931884766,1583300,STM,2021-06-28
2021-06-29,36.959999084472656,37.36000061035156,36.83000183105469,37.279998779296875,37.279998779296875,911100,STM,2021-06-29
2021-06-30,36.560001373291016,36.68000030517578,36.16999816894531,36.380001068115234,36.380001068115234,1294000,STM,2021-06-30
2021-07-01,36.66999816894531,36.7400016784668,36.31999969482422,36.43000030517578,36.43000030517578,1247000,STM,2021-07-01
2021-07-02,37.209999084472656,37.349998474121094,37.029998779296875,37.220001220703125,37.220001220703125,1128500,STM,2021-07-02
2021-07-06,37.709999084472656,37.86000061035156,37.02000045776367,37.36000061035156,37.36000061035156,1376400,STM,2021-07-06
2021-07-07,37.810001373291016,37.90999984741211,37.310001373291016,37.4900016784668,37.4900016784668,2596800,STM,2021-07-07
